deployment,year,Lure
ABMI-1358-NW,2017,n
ABMI-1358-SE,2017,n
ABMI-1358-SW,2017,y
ABMI-1360-NE,2018,y
ABMI-1360-SW,2018,n
ABMI-1361-NE,2018,y
ABMI-1361-SW,2018,n
ABMI-1362-NE,2016,y
ABMI-1362-NW,2016,n
ABMI-1362-SE,2016,n
ABMI-1362-SW,2016,y
ABMI-1363-NE,2016,y
ABMI-1363-NW,2016,n
ABMI-1363-SE,2016,n
ABMI-1363-SW,2016,y
ABMI-1364-NE,2016,y
ABMI-1364-NW,2016,n
ABMI-1364-SE,2016,n
ABMI-1364-SW,2016,y
ABMI-1368-NE,2015,y
ABMI-1368-NW,2015,n
ABMI-1368-SE,2015,n
ABMI-1368-SW,2015,y
ABMI-1369-NE,2015,y
ABMI-1369-NW,2015,n
ABMI-1369-SE,2015,n
ABMI-1369-SW,2015,y
ABMI-1381-NE,2017,y
ABMI-1381-NW,2017,n
ABMI-1381-SE,2017,n
ABMI-1381-SW,2017,y
ABMI-1382-NE,2017,n
ABMI-1382-NW,2017,n
ABMI-1382-SE,2017,n
ABMI-1382-SW,2017,n
ABMI-1383-NE,2017,y
ABMI-1383-NW,2017,n
ABMI-1383-SE,2017,n
ABMI-1383-SW,2017,y
ABMI-1384-NE,2018,y
ABMI-1384-SW,2018,n
ABMI-1385-NE,2018,y
ABMI-1385-SW,2018,n
ABMI-1387-NE,2016,y
ABMI-1387-NW,2016,n
ABMI-1387-SE,2016,n
ABMI-1387-SW,2016,y
ABMI-1388B-NE,2016,y
ABMI-1388B-NW,2016,n
ABMI-1388B-SE,2016,n
ABMI-1388B-SW,2016,y
ABMI-1389-NE,2016,y
ABMI-1389-NW,2016,n
ABMI-1389-SE,2016,n
ABMI-1389-SW,2016,y
ABMI-1393-NE,2015,y
ABMI-1393-NW,2015,n
ABMI-1393-SE,2015,n
ABMI-1394-NE,2015,y
ABMI-1394-NW,2015,n
ABMI-1394-SE,2015,n
ABMI-1394-SW,2015,y
ABMI-1395-NE,2015,y
ABMI-1395-NW,2015,n
ABMI-1395-SE,2015,n
ABMI-1395-SW,2015,y
ABMI-13-NE,2015,y
ABMI-13-NW,2015,n
ABMI-13-SE,2015,n
ABMI-13-SW,2015,y
ABMI-1405B-NE,2017,n
ABMI-1405B-NW,2017,n
ABMI-1405B-SE,2017,n
ABMI-1405B-SW,2017,y
ABMI-1405-NE,2017,n
ABMI-1405-NW,2017,n
ABMI-1405-SE,2017,n
ABMI-1405-SW,2017,y
ABMI-1406-NE,2017,NA
ABMI-1406-NW,2017,n
ABMI-1406-SE,2017,NA
ABMI-1406-SW,2017,y
ABMI-1407-NE,2017,n
ABMI-1407-NW,2017,n
ABMI-1407-SE,2017,n
ABMI-1407-SW,2017,n
ABMI-1408-NE,2018,y
ABMI-1408-SW,2018,n
ABMI-1409-NE,2018,y
ABMI-1409-SW,2018,n
ABMI-1410-NE,2018,y
ABMI-1410-SW,2018,n
ABMI-1411-NE,2016,y
ABMI-1411-NE-b,2016,y
ABMI-1411-NW,2016,n
ABMI-1411-NW-b,2016,n
ABMI-1411-SE,2016,n
ABMI-1411-SE-b,2016,n
ABMI-1411-SW,2016,y
ABMI-1411-SW-b,2016,y
ABMI-1412-NE,2016,y
ABMI-1412-NW,2016,n
ABMI-1412-SE,2016,n
ABMI-1412-SW,2016,y
ABMI-1413-NE,2016,y
ABMI-1413-NW,2016,n
ABMI-1413-SE,2016,n
ABMI-1413-SW,2016,y
ABMI-1417-NE,2015,y
ABMI-1417-NW,2015,n
ABMI-1417-SE,2015,n
ABMI-1417-SW,2015,y
ABMI-1418-NE,2015,y
ABMI-1418-NW,2015,n
ABMI-1418-SE,2015,n
ABMI-1418-SW,2015,y
ABMI-1419-NE,2015,y
ABMI-1419-NE-b,2015,y
ABMI-1419-NW,2015,n
ABMI-1419-NW-b,2015,n
ABMI-1419-SE,2015,n
ABMI-1419-SW,2015,y
ABMI-1420-NE,2017,y
ABMI-1420-NW,2017,n
ABMI-1420-SE,2017,n
ABMI-1420-SW,2017,y
ABMI-1422-NE,2018,NA
ABMI-1422-NW,2018,n
ABMI-1422-SE,2018,n
ABMI-1422-SW,2018,y
ABMI-1423-NE,2018,y
ABMI-1423-NW,2018,NA
ABMI-1423-SE,2018,n
ABMI-1423-SW,2018,y
ABMI-1424-NE,2017,y
ABMI-1424-NW,2017,n
ABMI-1424-SE,2017,n
ABMI-1424-SW,2017,y
ABMI-1425-NE,2017,y
ABMI-1425-NW,2017,n
ABMI-1425-SE,2017,n
ABMI-1425-SW,2017,y
ABMI-1426-NE,2017,y
ABMI-1426-NW,2017,n
ABMI-1426-SE,2017,n
ABMI-1426-SW,2017,y
ABMI-1427-NE,2017,y
ABMI-1427-NW,2017,n
ABMI-1427-SE,2017,n
ABMI-1427-SW,2017,y
ABMI-1428-NE,2016,n
ABMI-1428-NW,2016,n
ABMI-1428-SE,2016,y
ABMI-1428-SW,2016,y
ABMI-1429-NE,2016,y
ABMI-1429-NW,2016,n
ABMI-1429-SE,2016,n
ABMI-1429-SW,2016,y
ABMI-1430-NE,2016,y
ABMI-1430-NW,2016,n
ABMI-1430-SE,2016,y
ABMI-1430-SW,2016,n
ABMI-1431-NE,2018,y
ABMI-1431-SW,2018,n
ABMI-1432-NE,2018,y
ABMI-1432-SW,2018,n
ABMI-1433-NE,2018,y
ABMI-1433-SW,2018,n
ABMI-1434-NE,2015,y
ABMI-1434-NW,2015,n
ABMI-1434-SE,2015,n
ABMI-1434-SW,2015,y
ABMI-1435-NE,2015,y
ABMI-1435-NW,2015,n
ABMI-1435-SE,2015,n
ABMI-1435-SW,2015,y
ABMI-1436-NE,2015,y
ABMI-1436-NW,2015,n
ABMI-1436-SE,2015,n
ABMI-1436-SW,2015,y
ABMI-1437-NE,2017,y
ABMI-1437-NW,2017,n
ABMI-1437-SE,2017,n
ABMI-1437-SW,2017,y
ABMI-1438-NE,2017,y
ABMI-1438-NW,2017,n
ABMI-1438-SE,2017,n
ABMI-1438-SW,2017,y
ABMI-1439-NE,2017,y
ABMI-1439-NW,2017,n
ABMI-1439-SE,2017,NA
ABMI-1439-SW,2017,NA
ABMI-1440-NE,2018,y
ABMI-1440-SW,2018,n
ABMI-1441-NE,2018,y
ABMI-1441-SW,2018,n
ABMI-1442-NE,2018,y
ABMI-1442-SW,2018,n
ABMI-1443-NE,2016,y
ABMI-1443-NW,2016,n
ABMI-1443-SE,2016,n
ABMI-1443-SW,2016,y
ABMI-1444-NE,2018,y
ABMI-1444-NW,2018,n
ABMI-1444-SE,2018,n
ABMI-1444-SW,2018,y
ABMI-1445-NE,2018,y
ABMI-1445-NW,2018,n
ABMI-1445-SE,2018,NA
ABMI-1445-SW,2018,y
ABMI-1446-NE,2018,y
ABMI-1446-NW,2018,n
ABMI-1446-SE,2018,n
ABMI-1446-SW,2018,y
ABMI-1447-NE,2017,y
ABMI-1447-NW,2017,n
ABMI-1447-SE,2017,n
ABMI-1447-SW,2017,NA
ABMI-1448-NE,2017,y
ABMI-1448-NW,2017,n
ABMI-1448-SE,2017,n
ABMI-1448-SW,2017,y
ABMI-1449-NE,2018,y
ABMI-1449-NW,2018,n
ABMI-1449-SE,2018,y
ABMI-1449-SW,2018,NA
ABMI-1450-NE,2016,y
ABMI-1450-NW,2016,n
ABMI-1450-SE,2016,n
ABMI-1450-SW,2016,y
ABMI-1451-NE,2016,y
ABMI-1451-NW,2016,y
ABMI-1451-SE,2016,n
ABMI-1451-SW,2016,n
ABMI-1452B-NE,2016,y
ABMI-1452B-NW,2016,y
ABMI-1452B-SE,2016,n
ABMI-1452B-SW,2016,n
ABMI-1453-NE,2018,y
ABMI-1453-SW,2018,n
ABMI-1454-NE,2018,y
ABMI-1454-SW,2018,n
ABMI-1456-NE,2015,y
ABMI-1457-NE,2015,y
ABMI-1457-NW,2015,n
ABMI-1457-SE,2015,n
ABMI-1457-SW,2015,y
ABMI-1458-NE,2015,y
ABMI-1458-NW,2015,n
ABMI-1458-SE,2015,n
ABMI-1458-SW,2015,y
ABMI-1459-NE,2017,y
ABMI-1459-NW,2017,n
ABMI-1459-SE,2017,n
ABMI-1459-SW,2017,y
ABMI-1460-NE,2017,y
ABMI-1460-NW,2017,n
ABMI-1460-SE,2017,n
ABMI-1460-SW,2017,y
ABMI-1461-NE,2017,y
ABMI-1461-NW,2017,n
ABMI-1461-SE,2017,n
ABMI-1461-SW,2017,y
ABMI-1462-NE,2018,y
ABMI-1462-SW,2018,n
ABMI-1463-NE,2018,y
ABMI-1463-SW,2018,n
ABMI-1464-NE,2018,y
ABMI-1464-SW,2018,n
ABMI-1465-NE,2016,n
ABMI-1465-NW,2016,n
ABMI-1465-SE,2016,n
ABMI-1465-SW,2016,n
ABMI-1466-NE,2017,n
ABMI-1466-NW,2017,n
ABMI-1466-SE,2017,n
ABMI-1466-SW,2017,n
ABMI-1467-NE,2017,n
ABMI-1467-NW,2017,n
ABMI-1467-SE,2017,n
ABMI-1467-SW,2017,n
ABMI-1468-NE,2018,y
ABMI-1468-NW,2018,n
ABMI-1468-SE,2018,n
ABMI-1468-SW,2018,y
ABMI-1469-NE,2018,y
ABMI-1469-NW,2018,n
ABMI-1469-SE,2018,n
ABMI-1469-SW,2018,NA
ABMI-1470-NE,2017,y
ABMI-1470-NW,2017,n
ABMI-1470-SE,2017,n
ABMI-1470-SW,2017,y
ABMI-1471-NE,2016,n
ABMI-1471-NW,2016,y
ABMI-1471-SE,2016,n
ABMI-1471-SW,2016,n
ABMI-1472-NE,2016,n
ABMI-1472-NW,2016,NA
ABMI-1472-SE,2016,n
ABMI-1472-SW,2016,n
ABMI-1473-NE,2016,n
ABMI-1473-NW,2016,n
ABMI-1473-SE,2016,n
ABMI-1473-SW,2016,n
ABMI-1474-NE,2018,y
ABMI-1474-SW,2018,n
ABMI-1475-NE,2018,y
ABMI-1475-SW,2018,n
ABMI-1477-NE,2015,y
ABMI-1477-NW,2015,n
ABMI-1477-SE,2015,n
ABMI-1477-SW,2015,y
ABMI-1478-NE,2015,y
ABMI-1478-NW,2015,n
ABMI-1478-SE,2015,n
ABMI-1478-SW,2015,y
ABMI-1479-NE,2015,y
ABMI-1479-NW,2015,n
ABMI-1479-NW-b,2015,n
ABMI-1479-SE,2015,n
ABMI-1479-SW,2015,y
ABMI-1480-NE,2017,y
ABMI-1480-NW,2017,n
ABMI-1480-SE,2017,n
ABMI-1480-SW,2017,y
ABMI-1481-NE,2017,y
ABMI-1481-NW,2017,n
ABMI-1481-SE,2017,n
ABMI-1481-SW,2017,y
ABMI-1482-NE,2017,y
ABMI-1482-NW,2017,n
ABMI-1482-SE,2017,n
ABMI-1482-SW,2017,y
ABMI-1486-NE,2016,y
ABMI-1486-NW,2016,n
ABMI-1486-SE,2016,n
ABMI-1486-SW,2016,y
ABMI-1491-NE,2015,y
ABMI-1491-NW,2015,n
ABMI-1491-SE,2015,n
ABMI-1491-SW,2015,y
ABMI-1492-NE,2015,y
ABMI-1492-NW,2015,y
ABMI-1492-SE,2015,n
ABMI-1492-SW,2015,n
ABMI-1493B-NE,2015,y
ABMI-1493B-NW,2015,n
ABMI-1493B-SE,2015,n
ABMI-1493B-SW,2015,n
ABMI-1494-NE,2017,n
ABMI-1494-NW,2017,n
ABMI-1494-SE,2017,y
ABMI-1494-SW,2017,y
ABMI-1495B-NE,2017,y
ABMI-1495B-NW,2017,n
ABMI-1495B-SE,2017,n
ABMI-1495B-SW,2017,y
ABMI-1495-NE,2017,y
ABMI-1495-NW,2017,n
ABMI-1495-SE,2017,n
ABMI-1495-SW,2017,y
ABMI-1496-NE,2017,y
ABMI-1496-NW,2017,y
ABMI-1496-SE,2017,n
ABMI-1496-SW,2017,n
ABMI-1497-NE,2018,y
ABMI-1497-SW,2018,n
ABMI-1498-NE,2018,y
ABMI-1498-SW,2018,n
ABMI-1499-NE,2018,y
ABMI-1499-SW,2018,n
ABMI-14-NE,2015,y
ABMI-14-NW,2015,n
ABMI-14-SE,2015,n
ABMI-14-SW,2015,y
ABMI-1500-NE,2016,y
ABMI-1500-NW,2016,n
ABMI-1500-SE,2016,n
ABMI-1500-SW,2016,y
ABMI-1501-NE,2016,y
ABMI-1501-NW,2016,NA
ABMI-1501-SE,2016,n
ABMI-1501-SW,2016,NA
ABMI-1502-NE,2016,y
ABMI-1502-NW,2016,n
ABMI-1502-SE,2016,n
ABMI-1502-SW,2016,y
ABMI-1506-NE,2015,y
ABMI-1506-NW,2015,n
ABMI-1506-SE,2015,n
ABMI-1506-SW,2015,y
ABMI-1510-NE,2015,y
